iteration,y,best_so_far
1,3.037233606994288,3.037233606994288
2,3.4180688201814116,3.037233606994288
3,5.529271295269964,3.037233606994288
4,3.416382288325758,3.037233606994288
5,3.38599658908227,3.037233606994288
6,3.1738942951671043,3.037233606994288
7,3.4309260932299885,3.037233606994288
8,3.399172806459934,3.037233606994288
9,5.558821057146627,3.037233606994288
10,2.945165266141469,2.945165266141469
11,4.126795709877311,2.945165266141469
12,3.216685904646861,2.945165266141469
13,3.457217614669991,2.945165266141469
14,3.556907139808395,2.945165266141469
15,3.5270714599163098,2.945165266141469
16,4.140606100682399,2.945165266141469
17,3.5162608601398464,2.945165266141469
18,3.39915241035354,2.945165266141469
19,2.926430633896401,2.926430633896401
20,5.244228582705399,2.926430633896401
21,4.149264773518967,2.926430633896401
22,3.2288864387402594,2.926430633896401
23,3.5143766388179225,2.926430633896401
24,3.5036697288181236,2.926430633896401
25,3.5440567689012474,2.926430633896401
26,4.12210411475297,2.926430633896401
27,3.526502201561264,2.926430633896401
28,3.5458439372781574,2.926430633896401
29,4.122339148517777,2.926430633896401
30,4.1258345740352445,2.926430633896401
31,3.132679948008971,2.926430633896401
32,4.119409132407415,2.926430633896401
33,3.9977998749324475,2.926430633896401
34,3.0757150345938333,2.926430633896401
35,4.136967639546255,2.926430633896401
36,3.861994398266285,2.926430633896401
37,3.2379419679496237,2.926430633896401
38,3.3950421836436324,2.926430633896401
39,4.125395380309258,2.926430633896401
40,4.127063490940753,2.926430633896401
41,3.203249944373571,2.926430633896401
42,4.135461280722688,2.926430633896401
43,3.3040439351515585,2.926430633896401
44,4.135423975465961,2.926430633896401
45,3.0861645212810664,2.926430633896401
46,3.3870055592322985,2.926430633896401
47,3.399689713639479,2.926430633896401
48,4.146487850308971,2.926430633896401
49,3.386975249016149,2.926430633896401
50,3.39861414635524,2.926430633896401
51,3.404485420198093,2.926430633896401
52,3.3621998134512108,2.926430633896401
53,4.146893655818042,2.926430633896401
54,3.4019048303948987,2.926430633896401
55,3.421815718703353,2.926430633896401
56,4.135477658989819,2.926430633896401
57,3.3944466126636756,2.926430633896401
58,3.3986399817694624,2.926430633896401
59,4.131707217056037,2.926430633896401
60,3.405224548606511,2.926430633896401
61,3.404006483928743,2.926430633896401
62,4.12383607886196,2.926430633896401
63,3.4045880271383195,2.926430633896401
64,3.4524273603376567,2.926430633896401
65,3.2488771633533493,2.926430633896401
66,3.1828237942950026,2.926430633896401
67,3.258718635534623,2.926430633896401
68,4.121648217110173,2.926430633896401
69,3.244031950967294,2.926430633896401
70,4.1307327874497926,2.926430633896401
71,3.235319731376825,2.926430633896401
72,3.2450252349987454,2.926430633896401
73,4.122016184316612,2.926430633896401
74,3.1716733155747194,2.926430633896401
75,4.1360716058286116,2.926430633896401
76,3.1818393680940056,2.926430633896401
77,4.111964465468424,2.926430633896401
78,3.176771805450302,2.926430633896401
79,4.114954858135025,2.926430633896401
80,4.125152846443699,2.926430633896401
81,3.1949581271368257,2.926430633896401
82,4.141026106563598,2.926430633896401
83,3.209344118796085,2.926430633896401
84,3.244451340417484,2.926430633896401
85,3.2544023323004687,2.926430633896401
86,3.2028251027441237,2.926430633896401
87,3.2114865967890682,2.926430633896401
88,3.2090198762809474,2.926430633896401
89,3.408889640416263,2.926430633896401
90,3.41012509286381,2.926430633896401
91,3.2047766193022476,2.926430633896401
92,3.252773078440044,2.926430633896401
93,4.113805429241626,2.926430633896401
94,3.171266975505943,2.926430633896401
95,4.121007705700652,2.926430633896401
96,3.4089894668343095,2.926430633896401
97,3.259426249490601,2.926430633896401
98,3.4455718680514007,2.926430633896401
99,3.390367447445745,2.926430633896401
100,3.36795087736355,2.926430633896401
101,3.496990027279246,2.926430633896401
102,3.5414132580672626,2.926430633896401
103,3.241693004251855,2.926430633896401
104,4.1199331943368485,2.926430633896401
105,4.113515222289945,2.926430633896401
106,3.418291055728403,2.926430633896401
107,3.464418198742402,2.926430633896401
108,3.388967211006224,2.926430633896401
109,3.4274986276206953,2.926430633896401
110,3.365885189528736,2.926430633896401
111,3.517655961192343,2.926430633896401
112,3.436526251334314,2.926430633896401
113,4.122318010391515,2.926430633896401
114,3.512510734489258,2.926430633896401
115,3.4774762785597115,2.926430633896401
116,3.3801529821349034,2.926430633896401
117,3.4827118775610817,2.926430633896401
118,3.4937757352336276,2.926430633896401
119,3.4231368569093137,2.926430633896401
120,3.537355618117337,2.926430633896401
121,3.4213238551801637,2.926430633896401
122,3.187148816460649,2.926430633896401
123,3.5471453605686025,2.926430633896401
124,3.5471453605686025,2.926430633896401
125,3.380186777890627,2.926430633896401
126,3.516167119387141,2.926430633896401
127,3.5398003848043347,2.926430633896401
128,3.2187307299792733,2.926430633896401
129,4.107110071945055,2.926430633896401
130,3.1663434457202397,2.926430633896401
131,3.1942487854942336,2.926430633896401
