iteration,y,best_so_far
1,3.1231747641506478,3.1231747641506478
2,4.127906297908269,3.1231747641506478
3,3.820850498868263,3.1231747641506478
4,3.2299211226024256,3.1231747641506478
5,4.126969626684978,3.1231747641506478
6,3.8957318621963006,3.1231747641506478
7,3.1806801835117517,3.1231747641506478
8,4.143261621209449,3.1231747641506478
9,4.071401379282254,3.1231747641506478
10,3.3398860551196443,3.1231747641506478
11,3.8801848991585297,3.1231747641506478
12,3.2241580630043005,3.1231747641506478
13,3.394696305911112,3.1231747641506478
14,4.1271903074170755,3.1231747641506478
15,3.3878044428875964,3.1231747641506478
16,4.148124463243732,3.1231747641506478
17,4.142574125389574,3.1231747641506478
18,3.2076510804460567,3.1231747641506478
19,3.3957887696849918,3.1231747641506478
20,3.3925086620948686,3.1231747641506478
21,3.4962536696350868,3.1231747641506478
22,4.141534214973874,3.1231747641506478
23,3.396102410622706,3.1231747641506478
24,3.4563813163468655,3.1231747641506478
25,4.136736072086125,3.1231747641506478
26,3.396244044758008,3.1231747641506478
27,3.4841013614205,3.1231747641506478
28,4.144308564729968,3.1231747641506478
29,3.391526184103376,3.1231747641506478
30,4.118780468213947,3.1231747641506478
31,3.4049454747300354,3.1231747641506478
32,3.1955783931075303,3.1231747641506478
33,3.542576575420227,3.1231747641506478
34,3.219864254277367,3.1231747641506478
35,3.249448152367199,3.1231747641506478
36,5.570501551297376,3.1231747641506478
37,3.3997322531156904,3.1231747641506478
38,4.115608053632778,3.1231747641506478
39,3.3983689896024587,3.1231747641506478
40,3.2017473768015963,3.1231747641506478
41,4.141901265409557,3.1231747641506478
42,3.186133708038465,3.1231747641506478
43,3.3904097892029244,3.1231747641506478
44,3.250564227060839,3.1231747641506478
45,3.238024223395167,3.1231747641506478
46,5.566378806434338,3.1231747641506478
47,3.420514268119428,3.1231747641506478
48,4.129910963267362,3.1231747641506478
49,3.389546207381631,3.1231747641506478
50,3.4974203281605543,3.1231747641506478
51,4.145429964378747,3.1231747641506478
52,3.396971493779922,3.1231747641506478
53,3.401563397654765,3.1231747641506478
54,4.124889784207668,3.1231747641506478
55,3.3996705249785015,3.1231747641506478
56,3.3954590206630186,3.1231747641506478
57,3.237383341708958,3.1231747641506478
58,3.187172093256068,3.1231747641506478
59,3.213350935387382,3.1231747641506478
60,4.131237334660655,3.1231747641506478
61,3.2433197309624466,3.1231747641506478
62,4.138112999466102,3.1231747641506478
63,3.2294661688430026,3.1231747641506478
64,4.133629734072742,3.1231747641506478
65,3.2037290167402706,3.1231747641506478
66,4.129220189416037,3.1231747641506478
67,3.1800888290335867,3.1231747641506478
68,4.133721129431903,3.1231747641506478
69,3.256162180084545,3.1231747641506478
70,4.124248963921748,3.1231747641506478
71,3.189627843500948,3.1231747641506478
72,4.139025620991965,3.1231747641506478
73,3.25279427006846,3.1231747641506478
74,4.1128903329479485,3.1231747641506478
75,3.1796036265581873,3.1231747641506478
76,4.139532309266584,3.1231747641506478
77,3.252252757740621,3.1231747641506478
78,3.2559807238055876,3.1231747641506478
79,3.194500456476098,3.1231747641506478
80,3.2094303902690378,3.1231747641506478
81,3.263548760224968,3.1231747641506478
82,3.2308170386842523,3.1231747641506478
83,3.253662281200408,3.1231747641506478
84,3.2483351962623708,3.1231747641506478
85,3.2425074872611566,3.1231747641506478
86,4.124238656240696,3.1231747641506478
87,3.2530169309729353,3.1231747641506478
88,4.121573358263121,3.1231747641506478
89,3.1741555083717716,3.1231747641506478
90,4.108892367265866,3.1231747641506478
91,3.229895520808786,3.1231747641506478
92,3.252533793023813,3.1231747641506478
93,4.1079656532037125,3.1231747641506478
94,3.255818573404913,3.1231747641506478
95,3.405282906960194,3.1231747641506478
96,4.11333891678611,3.1231747641506478
97,3.261447182115529,3.1231747641506478
