generation,piece,beta
0,1,0.0947182482274313
0,2,-0.31690353951918687
0,3,0.1529243151453961
0,4,-0.09165406295221336
1,1,0.04585789022330672
1,2,-0.2890197045818195
1,3,0.177312590737724
1,4,-0.05989182959594552
2,1,0.04585789022330672
2,2,-0.2890197045818195
2,3,0.177312590737724
2,4,-0.05989182959594552
