generation,piece,gamma
0,1,0.11843830053001561
0,2,0.09713099290006517
0,3,0.13372074540959872
0,4,0.1764451980308119
1,1,0.08425496751244962
1,2,0.13981161641040196
1,3,0.1522191490259216
1,4,0.07660307435507924
2,1,0.08425496751244962
2,2,0.13981161641040196
2,3,0.1522191490259216
2,4,0.07660307435507924
