piece1_joint1,piece1_joint2,piece1_joint3,piece1_joint4,piece2_joint1,piece2_joint2,piece2_joint3,piece2_joint4,piece3_joint1,piece3_joint2,piece3_joint3,piece3_joint4,piece4_joint1,piece4_joint2,piece4_joint3,piece4_joint4,piece5_joint1,piece5_joint2,piece5_joint3,piece5_joint4,piece6_joint1,piece6_joint2,piece6_joint3,piece6_joint4,piece7_joint1,piece7_joint2,piece7_joint3,piece7_joint4,piece8_joint1,piece8_joint2,piece8_joint3,piece8_joint4,piece9_joint1,piece9_joint2,piece9_joint3,piece9_joint4,piece10_joint1,piece10_joint2,piece10_joint3,piece10_joint4,piece11_joint1,piece11_joint2,piece11_joint3,piece11_joint4,piece12_joint1,piece12_joint2,piece12_joint3,piece12_joint4,piece13_joint1,piece13_joint2,piece13_joint3,piece13_joint4,piece14_joint1,piece14_joint2,piece14_joint3,piece14_joint4,piece15_joint1,piece15_joint2,piece15_joint3,piece15_joint4,piece16_joint1,piece16_joint2,piece16_joint3,piece16_joint4,piece17_joint1,piece17_joint2,piece17_joint3,piece17_joint4,piece18_joint1,piece18_joint2,piece18_joint3,piece18_joint4,piece19_joint1,piece19_joint2,piece19_joint3,piece19_joint4,piece20_joint1,piece20_joint2,piece20_joint3,piece20_joint4
0.528040056364982,0.5757432400926605,0.5908169611040701,0.5577866017380592,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.5741302784116579,0.7092769732154284,1.0435361266748144,1.0435361266748144,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.5112416146931881,0.7561012626350305,0.7235570168624271,0.6207105146564191,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.5581928861628842,0.7617117876802166,0.7498448674439544,0.32504476925777565,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.5779001473979284,0.9037670968542317,0.9037670968542317,0.637707009977302,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.5262229030144628,0.7780952223585621,0.6291740393724362,1.043094009674269,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.6738738651120505,0.7051813055531079,0.6581697343662349,0.5471834794963624,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.7854369754376861,0.8622547091704347,0.7012875642916354,0.686829402570478,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.5587060996398725,0.7293736060201301,0.8809288522257462,0.6161937746612767
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.544146667826228,0.7011075223300387,0.7416680494434573,0.5108458703051871,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.5944989316618208,0.7305645812882344,0.5909081834860671,0.6721863447958496,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.5232054907501874,0.24477595434880645,0.7417611686833243,0.25171215784315076,100.0,100.0,100.0,100.0,0.5577028447139164,0.5750260112463097,0.7617474076646359,0.5930359576915287,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.0674948007834215,0.6624570531474072,1.0674948007834215,0.5560988967417952,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.5342568569967461,0.5746043150231229,0.5750499098725552,0.5234611208082838,100.0,100.0,100.0,100.0,0.5407973336957524,1.0378287641466102,0.4991271164589235,0.8840951574828573,0.5918220011547918,0.6328989383829663,0.6442732927592141,0.5754703564104655,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.8422685893184129,0.48405125526250165,0.5436731580702652,0.4786982705121594,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.5459645746592798,0.26553204647834505,0.7473604065534074,0.19611629570893654
0.5587526890851979,0.7735306219196513,0.6275344741329445,0.9581956289566085,0.5361587168186329,0.45350607374771107,0.677999481442121,0.6071854396907422,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.3998292236193486,0.4882674862228573,0.76313860339269,0.5892131580546065,100.0,100.0,100.0,100.0,0.559584475818751,0.4186727345307979,0.5010920814961611,1.0337509665455968,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.5263918047625843,0.8861949255666448,0.6844078822768033,0.6657517312907009,100.0,100.0,100.0,100.0,0.4892157267674611,0.6186103385335953,0.598746530263397,0.4907505163400234,100.0,100.0,100.0,100.0,0.5399857845072422,1.0754120278450028,0.500864361087966,0.7090509407072747,0.5454005037588382,0.7308001585201913,0.66190556697802,0.5283275452689031,100.0,100.0,100.0,100.0,0.5449351259777669,0.6224315706057841,0.5101157261879573,0.9159674480768196
0.5293825962598387,0.5978576179673414,0.694314882896739,0.9682568711432455,0.7332391466334999,1.0396217241042087,0.36261457990601953,0.5871267980537618,100.0,100.0,100.0,100.0,0.5335600775605885,0.7184856562186478,0.5262159214276747,1.0275636328358877,0.7910653863046613,1.0332431003658586,0.6855448192010475,0.583328580616181,100.0,100.0,100.0,100.0,0.5363866454903902,0.5612488624206099,0.7554287975801282,0.5068937290271993,0.5413102770070981,0.7917556978129865,0.6414894145464543,0.7645478942099805,100.0,100.0,100.0,100.0,0.5472005444844197,0.692631233210334,0.7077822694865671,0.7109514268272438,100.0,100.0,100.0,100.0,0.8185154888891197,0.6352895293086688,0.8185154888891197,0.5432405764248376,0.5040825754624513,0.5929185977315127,0.5520594107822363,0.964180310432243,0.5354003654724031,0.5846134663613957,0.5298545956115188,0.3980456575781953,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.6547451150322064,0.9422416161931269,0.694251224897136,1.0044783920551483,100.0,100.0,100.0,100.0,0.690801124041663,0.4758796796351573,0.5420001340396698,0.6194164314447852,0.5515551023798602,0.5836423214699045,0.69409847520799,0.595954758270891,100.0,100.0,100.0,100.0,0.9515436256670459,0.7238946240181371,0.560174231246264,0.9515436256670459,0.6916573262138938,0.9778066120263024,0.5664665265882604,0.47736750140563394,100.0,100.0,100.0,100.0,0.5979535330290325,0.4357990086142481,0.6964379040025552,1.0142702024549912,0.5331305447826139,0.5635706213520032,0.5867386132611031,0.9409797683800657,0.545956441832778,0.5472557694511915,0.5483676767436916,0.7556160420413078,0.5305739244533659,0.49965266495215377,0.5483389360560278,1.0693063273913914,0.5690772113635763,0.6319335413658944,0.6777178358566585,1.0381103200076527,0.5340111537690512,0.7462832685349372,0.3457314966204085,0.6224077299005122,0.49225348020311294,0.7096535894083876,0.4554810666467739,0.7185869340934059,0.5175095151980578,0.43003919784714395,0.5357269626377399,0.4540655538035744,100.0,100.0,100.0,100.0,0.7000899432378054,0.5086460474618519,0.7784389982088219,0.48625686076716534,0.5628748643449327,0.6488737101748785,0.6749499438320121,0.5923241271224192,0.5777520188506519,1.081704780009754,0.7159175212245829,0.7401536589944503
0.5416323614202787,0.5339155271776782,0.5383143764007892,0.7470341681909322,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.5961955108010425,0.6472566662662372,0.6116960867708654,0.8920185386978148,100.0,100.0,100.0,100.0,0.4951547995417816,0.5277436439535169,0.688798675097509,0.5870268189955862,0.5063890531842276,0.586243952360551,0.6417909726960197,0.9685591953989061,0.5022705494256219,0.7088225392395601,0.6183111757255861,0.7746197939739674,100.0,100.0,100.0,100.0,0.531337090405497,0.6417413559891085,0.548555253076263,0.717416913116778,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.5316974412862353,1.0475645435114205,0.7758446313811932,0.719815518973011,0.5615365597170441,1.0118463335432386,0.712974727238359,0.5814343606212137,0.5296861199168839,0.4411268791730814,0.698761955579532,0.9582238488414933,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.5207518929720323,0.6863911317460643,0.5572369526241491,1.0547994957451785,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.5400988916977597,0.7024149931358799,0.8642383753795093,0.28564935902239874,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.5918739329434387,0.42690322995671615,0.6984664577492157,0.7479189713034471,100.0,100.0,100.0,100.0,0.6471701341105898,0.3931806564733963,0.6890821994968828,0.5585439201288689,100.0,100.0,100.0,100.0,0.6551812287486123,0.486957015923129,0.7014419005700128,0.4924810521976843,100.0,100.0,100.0,100.0,0.8251347883678312,0.6182335201108364,0.8251347883678312,0.5216822344517733,0.5493705041654889,1.0376563544428372,0.6933453104387184,0.71768035671635,0.47217978004734273,0.4961179468231629,0.8574712267595694,0.5248054243593753,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,0.4939809740276922,0.6191325350020109,0.6634077459135024,0.6087777519162648,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.6177820641703247,0.5040086531134267,0.6617059591833419,0.47962632525623766,0.5475262399093772,0.38521936958634384,0.6249911215158844,0.6097215117484709,0.5054584224824759,0.43802444109934996,0.7478510467737038,0.5499550166749202,0.5108589960484591,0.5627834720652556,0.6315737158136506,0.9029829024234162,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.9350122664376194,0.7225088548760561,0.9350122664376194,0.9350122664376194,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.5298257877685082,0.503253484799973,0.7073604846632939,0.5103483858618904,100.0,100.0,100.0,100.0
