generation,piece,alpha
0,1,0.5597012017313503
0,2,0.9008829047790109
0,3,0.7020416786344871
0,4,0.4183567384120492
1,1,0.5202288696738774
1,2,0.9350419159599535
1,3,0.6942267555970556
1,4,0.33264353359934906
2,1,0.5202288696738774
2,2,0.9350419159599535
2,3,0.6942267555970556
2,4,0.33264353359934906
