iteration,y,best_so_far
1,47.901147906154236,47.901147906154236
2,41.5583542102258,41.5583542102258
3,41.5744048238653,41.5583542102258
4,44.400192010590914,41.5583542102258
5,49.29905150527213,41.5583542102258
6,41.29158161160673,41.29158161160673
7,41.247268193362075,41.247268193362075
8,42.916470686916384,41.247268193362075
9,39.74299705648741,39.74299705648741
10,41.3920406554266,39.74299705648741
11,62.840857361472864,39.74299705648741
12,39.52747262039377,39.52747262039377
13,54.03644965241986,39.52747262039377
14,200.0,39.52747262039377
15,64.21708332687771,39.52747262039377
16,44.115219630132664,39.52747262039377
17,40.34779075047084,39.52747262039377
18,46.88349046736664,39.52747262039377
19,43.116886398101705,39.52747262039377
20,45.347093504171774,39.52747262039377
21,44.02535325169255,39.52747262039377
22,41.17220671723703,39.52747262039377
23,43.550698220447515,39.52747262039377
24,55.31333480068383,39.52747262039377
25,44.53510108368162,39.52747262039377
26,41.678922990734705,39.52747262039377
27,41.360347270162556,39.52747262039377
28,51.95110731026012,39.52747262039377
29,42.05578802816928,39.52747262039377
30,55.14561203368869,39.52747262039377
31,40.404660711386555,39.52747262039377
32,40.3330816874203,39.52747262039377
33,49.002954611881464,39.52747262039377
34,44.4988546001716,39.52747262039377
35,45.79289066120904,39.52747262039377
36,41.36618444766559,39.52747262039377
37,43.284649864024914,39.52747262039377
38,42.036388160968684,39.52747262039377
39,45.410389083388324,39.52747262039377
40,44.2675655789684,39.52747262039377
41,40.68195533656831,39.52747262039377
42,43.08703404502473,39.52747262039377
43,47.55823974661375,39.52747262039377
44,57.4697671051846,39.52747262039377
45,40.41519013697274,39.52747262039377
46,43.33909437341933,39.52747262039377
47,42.45583793935605,39.52747262039377
48,50.65471233578502,39.52747262039377
49,69.53576100789655,39.52747262039377
50,40.138289008038505,39.52747262039377
51,40.12228080005209,39.52747262039377
52,42.00546772793056,39.52747262039377
53,52.424954337928575,39.52747262039377
54,40.35129113199265,39.52747262039377
55,51.043856135750644,39.52747262039377
56,39.45449119242299,39.45449119242299
57,41.285253820704014,39.45449119242299
58,52.27029408462978,39.45449119242299
59,68.75954958421127,39.45449119242299
60,49.27285117150073,39.45449119242299
61,44.541403092638475,39.45449119242299
62,45.88725260471939,39.45449119242299
63,42.16844873933762,39.45449119242299
64,42.11410340261649,39.45449119242299
65,39.43338434784927,39.43338434784927
66,48.05849007051421,39.43338434784927
67,44.31719212967249,39.43338434784927
68,43.93601250787119,39.43338434784927
69,45.846813687676786,39.43338434784927
70,41.143490115804525,39.43338434784927
71,40.394429705060325,39.43338434784927
72,39.8633330583752,39.43338434784927
73,39.49563212575038,39.43338434784927
74,39.896195438574,39.43338434784927
75,40.8941034809756,39.43338434784927
76,40.19200407257256,39.43338434784927
77,43.918091512621956,39.43338434784927
78,44.420792710573565,39.43338434784927
79,41.79423463435501,39.43338434784927
80,40.45861576847486,39.43338434784927
81,41.64988448783005,39.43338434784927
82,40.838714864416495,39.43338434784927
83,39.45743298333985,39.43338434784927
84,44.38300595985518,39.43338434784927
85,44.245275526185225,39.43338434784927
86,39.17274166586367,39.17274166586367
87,40.748831096454886,39.17274166586367
88,39.933402686004015,39.17274166586367
89,43.756663848562745,39.17274166586367
90,39.705297987147496,39.17274166586367
91,44.36781593604684,39.17274166586367
92,39.090152194286716,39.090152194286716
