generation,piece1,piece2,piece3,piece4
0,14.383890309218554,19.4558754439955,12.88787812180486,22.403681885602797
1,14.383890309218554,19.4558754439955,12.88787812180486,22.403681885602797
2,13.752678518231427,61.51220862539043,12.083946916605404,11.582353410969882
3,11.505637150728617,10.52532825994785,9.07519384986999,27.333175670060896
4,11.505637150728617,10.52532825994785,9.07519384986999,27.333175670060896
5,11.505637150728617,10.52532825994785,9.07519384986999,27.333175670060896
6,11.505637150728617,10.52532825994785,9.07519384986999,27.333175670060896
7,11.505637150728617,10.52532825994785,9.07519384986999,27.333175670060896
8,14.56035366251647,28.839051001658238,13.122024196483592,11.3966321529061
9,14.56035366251647,28.839051001658238,13.122024196483592,11.3966321529061
10,14.56035366251647,28.839051001658238,13.122024196483592,11.3966321529061
11,14.56035366251647,28.839051001658238,13.122024196483592,11.3966321529061
12,9.921658858851663,78.50934637981392,11.584265263424856,14.05426949740464
13,9.921658858851663,78.50934637981392,11.584265263424856,14.05426949740464
14,9.921658858851663,78.50934637981392,11.584265263424856,14.05426949740464
15,9.921658858851663,78.50934637981392,11.584265263424856,14.05426949740464
16,9.921658858851663,78.50934637981392,11.584265263424856,14.05426949740464
17,9.921658858851663,78.50934637981392,11.584265263424856,14.05426949740464
18,9.921658858851663,78.50934637981392,11.584265263424856,14.05426949740464
19,9.921658858851663,78.50934637981392,11.584265263424856,14.05426949740464
20,9.921658858851663,78.50934637981392,11.584265263424856,14.05426949740464
21,9.921658858851663,78.50934637981392,11.584265263424856,14.05426949740464
22,9.921658858851663,78.50934637981392,11.584265263424856,14.05426949740464
23,9.921658858851663,78.50934637981392,11.584265263424856,14.05426949740464
24,9.921658858851663,78.50934637981392,11.584265263424856,14.05426949740464
25,9.921658858851663,78.50934637981392,11.584265263424856,14.05426949740464
26,9.921658858851663,78.50934637981392,11.584265263424856,14.05426949740464
27,9.921658858851663,78.50934637981392,11.584265263424856,14.05426949740464
28,9.921658858851663,78.50934637981392,11.584265263424856,14.05426949740464
29,9.921658858851663,78.50934637981392,11.584265263424856,14.05426949740464
30,9.921658858851663,78.50934637981392,11.584265263424856,14.05426949740464
