piece1_joint1,piece1_joint2,piece1_joint3,piece1_joint4,piece2_joint1,piece2_joint2,piece2_joint3,piece2_joint4,piece3_joint1,piece3_joint2,piece3_joint3,piece3_joint4,piece4_joint1,piece4_joint2,piece4_joint3,piece4_joint4,piece5_joint1,piece5_joint2,piece5_joint3,piece5_joint4,piece6_joint1,piece6_joint2,piece6_joint3,piece6_joint4,piece7_joint1,piece7_joint2,piece7_joint3,piece7_joint4,piece8_joint1,piece8_joint2,piece8_joint3,piece8_joint4,piece9_joint1,piece9_joint2,piece9_joint3,piece9_joint4,piece10_joint1,piece10_joint2,piece10_joint3,piece10_joint4,piece11_joint1,piece11_joint2,piece11_joint3,piece11_joint4,piece12_joint1,piece12_joint2,piece12_joint3,piece12_joint4,piece13_joint1,piece13_joint2,piece13_joint3,piece13_joint4,piece14_joint1,piece14_joint2,piece14_joint3,piece14_joint4,piece15_joint1,piece15_joint2,piece15_joint3,piece15_joint4,piece16_joint1,piece16_joint2,piece16_joint3,piece16_joint4,piece17_joint1,piece17_joint2,piece17_joint3,piece17_joint4,piece18_joint1,piece18_joint2,piece18_joint3,piece18_joint4,piece19_joint1,piece19_joint2,piece19_joint3,piece19_joint4,piece20_joint1,piece20_joint2,piece20_joint3,piece20_joint4,piece21_joint1,piece21_joint2,piece21_joint3,piece21_joint4,piece22_joint1,piece22_joint2,piece22_joint3,piece22_joint4,piece23_joint1,piece23_joint2,piece23_joint3,piece23_joint4,piece24_joint1,piece24_joint2,piece24_joint3,piece24_joint4,piece25_joint1,piece25_joint2,piece25_joint3,piece25_joint4,piece26_joint1,piece26_joint2,piece26_joint3,piece26_joint4,piece27_joint1,piece27_joint2,piece27_joint3,piece27_joint4,piece28_joint1,piece28_joint2,piece28_joint3,piece28_joint4,piece29_joint1,piece29_joint2,piece29_joint3,piece29_joint4,piece30_joint1,piece30_joint2,piece30_joint3,piece30_joint4,piece31_joint1,piece31_joint2,piece31_joint3,piece31_joint4,piece32_joint1,piece32_joint2,piece32_joint3,piece32_joint4,piece33_joint1,piece33_joint2,piece33_joint3,piece33_joint4,piece34_joint1,piece34_joint2,piece34_joint3,piece34_joint4,piece35_joint1,piece35_joint2,piece35_joint3,piece35_joint4,piece36_joint1,piece36_joint2,piece36_joint3,piece36_joint4,piece37_joint1,piece37_joint2,piece37_joint3,piece37_joint4,piece38_joint1,piece38_joint2,piece38_joint3,piece38_joint4,piece39_joint1,piece39_joint2,piece39_joint3,piece39_joint4,piece40_joint1,piece40_joint2,piece40_joint3,piece40_joint4
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.280089604392196,-0.21886703782192146,-0.21886703782192146,-0.1988124809742533,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.07995901800155503,0.09866924254703187,0.0014307917995808016,-0.10728632328467382,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.05924264937748286,0.17694599211648465,0.05924264937748286,-0.009339426968977653,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.14484803588468942,-0.11210660199301112,0.10410113816994207,-0.361823824766122,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.1309254229032687,0.0007283352433051921,0.1986992596980111,-0.08755376211465517,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.19514915583963627,-0.023554549627344427,0.16159364050829894,-0.020541003209146723,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.19583176661578572,-0.18940944293281653,0.1715902853861297,-0.317388014923072,-0.026253219526939667,0.4209834936136106,0.2946420211966298,0.25555581721234427,100.0,100.0,100.0,100.0,0.2215807792665825,0.23368804577786248,0.12102772978740217,0.12102772978740217,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.09421609475345927,0.3392296758160081,-0.011901488517131742,0.22067696878054788,0.10381816676130906,-0.05781391370477129,-0.020407079832954825,0.12579785684715872,100.0,100.0,100.0,100.0,-0.013673604554711217,-0.21075145161526715,-0.13613816008085808,0.17187292309213842,100.0,100.0,100.0,100.0,0.16883941005946668,0.021832428029123392,0.36759145197109316,0.1205874708672208
0.14818830704544445,0.09184733812843941,0.292075002206548,-0.059373850269174556,100.0,100.0,100.0,100.0,0.03510271558778228,-0.15968926096162508,-0.15968926096162508,-0.15629204155761167,0.035233357351940775,-0.039202939681108974,0.1793396204623148,-0.381679975890702,0.07696942914895444,0.01949799603662538,0.25515097886756,-0.022025483519008293,0.09403405378302264,0.08069343125355097,0.27836365965737253,0.20374729780232534,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.2063836634445942,-0.111567069428262,-0.111567069428262,-0.111567069428262,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.13143354481343955,0.19218014542332157,0.1775686352687041,0.17221490828567687,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.11541834375022145,-0.19571175313120692,0.010214243452622312,0.1161496332173235,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.22799532737316788,-0.01294829441742524,-0.01294829441742524,-0.1659608284143413,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.11359539835560269,0.13129548350640818,-0.00012943564015228948,-0.00012943564015228948,0.19800045249664566,0.34481141991767994,0.08745410182464784,0.11274692231309527,100.0,100.0,100.0,100.0,0.13431613442815965,0.037474426356328444,0.12778877063063618,0.08457631652407974,0.09778354560035629,0.08399215922001244,0.08399215922001244,0.2364592567393949,100.0,100.0,100.0,100.0,0.12763735061213258,0.09981695159985868,0.13706245752529628,0.051295167659953435,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.12731422372700632,0.086230550050275,0.17013828811694473,-0.26220064455779335,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.05028275644017959,0.1611731740128478,0.31720463249276165,-0.06859820479945512,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.05882414155176362,0.04580794470639013,0.05832582504782978,0.04933358307612615,100.0,100.0,100.0,100.0,0.2141441734550162,0.20646305284040822,0.20646305284040822,-0.29465978292112593,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.20496970351304833,0.2589802564033057,0.13341613894103949,-0.027474353736972934,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.08221377589245246,0.060593680934457855,0.07801763645950836,0.20381628169324656,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.10094517764363992,0.30943829565053504,0.13919980165921655,0.08903654319801713,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.2124591661423268,0.18546500250195985,0.2124591661423268,0.2124591661423268,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.11515004216682681,-0.12575195187776914,-0.045563794014762994,0.13602527023049416,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.022444735585661624,-0.23792481405712781,0.0624377208331305,0.03458234161583934,0.39153581852594566,-0.19683883277966585,-0.19683883277966585,0.022379574591860477,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.1343408085806378,-0.22676091870605988,0.07983622688924552,0.1288413021338829,100.0,100.0,100.0,100.0,0.05010918509570382,-0.008240135759224686,-0.03566493011021185,-0.09285435782006507,0.1680880924353101,-0.2159789650934837,0.013616937299553577,0.013616937299553577,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.16798682302421378,0.19049458021806787,0.19049458021806787,0.19049458021806787,100.0,100.0,100.0,100.0,0.13485244381999248,0.19404489844408623,0.14715265929062418,-0.17113087417882464,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.05576971138282722,0.0057507595474636936,0.14491068093367243,0.2027417699486764,100.0,100.0,100.0,100.0,0.04858344006153644,-0.14681971072721606,-0.14681971072721606,-0.19193753893591337,-0.007949209941327584,0.07585240521606443,0.4217097487895115,-0.054145363728561186,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.07184991147309455,0.0489094241912021,0.192451967837483,-0.01356742606138879,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,0.21038288083687584,-0.12084120317204897,0.21386055798311038,-0.22853212546962556,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-0.016845165327358972,-0.009554035137286726,0.0577495159359428,-0.1252122699520759,0.08740252543804847,-0.14416271984531653,0.03314727989156547,-0.3437585170300894,100.0,100.0,100.0,100.0,0.11786388662893672,0.04616221788253144,0.2918375002439118,0.10326327853512998,100.0,100.0,100.0,100.0,0.22026652731142085,-0.06683652995454797,0.5526390950827391,-0.2375214387179002,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.24919580297133714,-0.15747827812171145,-0.15747827812171145,-0.20112923432874227,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.01754127269808453,-0.034406498825552564,0.07618182570759174,-0.09433955543349569,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.14479074986902396,-0.23228915067041628,0.1921655887453006,-0.22491984420368932,0.1475945169211456,-0.217657395782372,0.020433653106078357,0.26005361802571253,100.0,100.0,100.0,100.0,0.10257206453088683,-0.1983913761997949,0.10915003096657316,0.06544289074481824,0.2979133852145896,-0.2081014349658273,-0.18118260118686186,0.17939635169209772,0.08972891113739992,-0.18039651482591926,0.021449673038974736,-0.22053388909091792,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.2401233191515211,0.017975229137429653,-0.1743190811531853,0.03535558530170177,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.008554562463109438,-0.24073736547925084,0.008554562463109438,-0.05257816394902529,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.1657384527776721,-0.043217179940533576,-0.043217179940533576,0.26882680618617544,0.23297459877312535,0.04517478610041464,0.04517478610041464,0.14920922332674919,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.21728739509742398,-0.1309304214905298,-0.1309304214905298,-0.1309304214905298,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.10503936774083156,0.2199878063230286,0.17508163152473896,0.13341764994431377,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.20343447052460034,-0.13403643992263087,-0.04556033051632049,-0.04556033051632049,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.1449392376813227,0.16794820038177816,0.16794820038177816,0.16794820038177816,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.20506011124295356,0.027840883576778414,0.027840883576778414,-0.23709856252275896,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.38012880627372414,-0.19710927429199315,-0.2034309351333011,0.2443054288251435,-0.02433937880024397,0.018337548882848054,0.3215716993136137,0.43072361751892163,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.12961398962366227,0.07308221131438357,0.14578818453502806,0.11527857341346424,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-0.09530325930004675,-0.033102977304297926,0.06540551943385503,-0.3293244908407147,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.12671250034492776,-0.1858235662764816,0.08550440674546664,-0.18219260081885655,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-0.01618913814984241,-0.029500679561628836,0.2349749839544189,0.2767503051517527,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.20605247406024585,0.013160017231075204,0.013160017231075204,0.11601470248013443,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.24887738973796983,0.17934997244393297,0.17934997244393297,0.16241223294338686,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.15691848616928428,-0.025106398138776492,0.23026538066892355,0.27019315167801283,0.184976913769817,-0.13115059571778692,-0.13115059571778692,-0.3344145722838723,0.12857820969118983,0.4589668475022384,0.42865597977430503,0.27486884529015315
0.0886705798092327,-0.11860600113033465,0.12118984397295195,-0.3454139021155006,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.3004758064107361,0.10889187655940943,0.10889187655940943,-0.11188749663845518,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.02823617935830145,0.22611793575002262,0.1498818287006679,-0.3826655844638913,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.1556609024634823,0.08630980737169312,0.10222930084392233,-0.10138070676483357,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.05153067973020613,-0.16619274632889292,0.03279075954757174,-0.18188328973149537,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.22511270782479828,-0.06576947001830509,-0.06576947001830509,-0.2686954662186859,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.14841579691744072,0.174384506113617,0.11442710391314136,0.04456846785435705,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-0.0821395641002364,0.04475846196315935,0.17484399176541277,0.19417246592079773,100.0,100.0,100.0,100.0,0.1808117492281609,0.0742194471613217,0.18327651510682463,0.07861868200063057
100.0,100.0,100.0,100.0,0.322271370194278,0.16633229296924706,0.16633229296924706,-0.08962025454463372,0.07319536394497991,0.04906880966923925,0.21414433463497895,0.2095512147720754,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.23170474903277075,0.20628509408799334,-0.07572359645617915,0.11295585420093471,0.20709574871355096,0.29437649248306325,-0.13653212034069032,-0.11803586722717413,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.23654666885985673,0.1843084849438799,-0.20235181520286105,-0.20235181520286105,0.005856904918168539,-0.22311719014321085,0.3461789392289405,-0.1929550557819079,0.18958057945909612,0.11766232700878215,0.11766232700878215,-0.21405525469827585,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.20107785930737188,-0.1486068654436364,0.12541394867803038,0.21839461443611846,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.06584437525917261,0.10185405592414036,0.20952157807004546,-0.1953003046681927,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.008194796263821824,-0.17491221078170174,-0.01620776027216986,-0.2384521000761568,0.08079457193330361,-0.2828348096586145,0.07915395008842954,0.17636591147504518,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.10179536451394652,-0.1738724489743863,0.2203062240791958,-0.1643783446004429,0.10270677579662958,0.1098313172042177,0.228264510026835,-0.31174901881280076,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-0.026957779099149568,-0.1854449058703751,0.3212212582477185,0.07232021596753953,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.10252797407949084,-0.2716570001774333,0.1024947755131018,-0.12977029551564956,100.0,100.0,100.0,100.0,0.18061297834039208,0.12222790740815126,0.13932833512666265,-0.07424529929580159,100.0,100.0,100.0,100.0,-0.023500319478934342,0.22698673812022985,0.14643019408367902,-0.027742670759169683,100.0,100.0,100.0,100.0,0.14698925379195688,0.25572467205076993,-0.004738613403621,0.10098909076182723,0.05777365591102854,-0.06207191736860353,0.19738287386449313,0.256684940506386,100.0,100.0,100.0,100.0,0.15492108479657218,-0.1722928310909711,0.14254659185466478,0.13191767509950308,100.0,100.0,100.0,100.0,0.35365474897072874,-0.043761007808159655,-0.043761007808159655,0.3699859839735253,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.1342381614321442,0.20030642458369113,0.1460300158348678,0.5968517947987815,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.04215071135146338,-0.055068082200333775,-0.031255982216717985,0.15053878612726446,0.2018951314465638,0.05926872802076872,0.05926872802076872,-0.19271111814215167,0.11474715936722954,0.05244103006264579,0.1369221491449681,-0.39392023118923264,0.1958951812976985,0.15468523769285422,0.1400069442304406,-0.2922264172374756,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.19733528998887612,0.16944210218962133,-0.06662618051908299,-0.06662618051908299,0.11598962443357179,-0.33509347348723106,0.2015573565150276,0.2095924257053726,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.12607049947763052,0.07635814624428974,0.07982634029714349,-0.08691966603648528,0.19051815941157593,-0.14281993957821842,0.19652040375925672,-0.45037614684060084
