generation,best_individual
0,12
1,16
2,16
3,16
4,16
5,16
6,16
7,13
8,13
9,15
10,15
11,15
12,15
13,11
14,13
15,13
16,13
17,32
18,32
19,32
20,32
21,8
22,8
23,8
24,8
25,8
26,8
27,8
28,8
29,8
30,0
31,31
32,31
33,31
34,31
35,31
36,31
37,31
38,31
39,31
40,31
41,31
42,39
43,39
44,39
45,39
46,39
47,39
48,39
49,39
50,39
51,39
52,39
53,39
54,39
55,39
56,39
57,39
58,33
59,33
60,33
61,32
62,32
63,32
64,32
65,32
66,32
67,32
68,32
69,32
70,32
71,32
72,32
73,32
74,32
75,32
76,32
77,32
78,32
79,32
80,32
81,32
82,32
83,32
84,32
85,32
86,32
87,32
88,32
89,32
90,32
91,32
92,32
93,32
94,32
95,32
96,32
97,32
98,32
99,21
