generation,piece1
0,12.88055258341222
1,11.712297416085827
2,11.712297416085827
3,11.712297416085827
4,11.712297416085827
5,11.712297416085827
6,11.712297416085827
7,11.604945508473044
8,11.604945508473044
9,12.52573952480572
10,12.52573952480572
11,12.52573952480572
12,12.52573952480572
13,11.84176340110028
14,12.123844792792177
15,12.123844792792177
16,12.123844792792177
17,12.09268276459008
18,12.09268276459008
19,12.09268276459008
20,12.09268276459008
21,12.525182989634153
22,12.525182989634153
23,12.525182989634153
24,12.525182989634153
25,12.525182989634153
26,12.525182989634153
27,12.525182989634153
28,12.525182989634153
29,12.525182989634153
30,12.672149884719277
31,12.643916077942915
32,12.643916077942915
33,12.643916077942915
34,12.643916077942915
35,12.643916077942915
36,12.643916077942915
37,12.643916077942915
38,12.643916077942915
39,12.643916077942915
40,12.643916077942915
41,12.643916077942915
42,12.954631599737905
43,12.954631599737905
44,12.954631599737905
45,12.954631599737905
46,12.954631599737905
47,12.954631599737905
48,12.954631599737905
49,12.954631599737905
50,12.954631599737905
51,12.954631599737905
52,12.954631599737905
53,12.954631599737905
54,12.954631599737905
55,12.954631599737905
56,12.954631599737905
57,12.954631599737905
58,12.673264958076633
59,12.673264958076633
60,12.673264958076633
61,12.695486472553416
62,12.695486472553416
63,12.695486472553416
64,12.695486472553416
65,12.695486472553416
66,12.695486472553416
67,12.695486472553416
68,12.695486472553416
69,12.695486472553416
70,12.695486472553416
71,12.695486472553416
72,12.695486472553416
73,12.695486472553416
74,12.695486472553416
75,12.695486472553416
76,12.695486472553416
77,12.695486472553416
78,12.695486472553416
79,12.695486472553416
80,12.695486472553416
81,12.695486472553416
82,12.695486472553416
83,12.695486472553416
84,12.695486472553416
85,12.695486472553416
86,12.695486472553416
87,12.695486472553416
88,12.695486472553416
89,12.695486472553416
90,12.695486472553416
91,12.695486472553416
92,12.695486472553416
93,12.695486472553416
94,12.695486472553416
95,12.695486472553416
96,12.695486472553416
97,12.695486472553416
98,12.695486472553416
99,12.687615305530327
