config_0,config_1,config_2,config_3
[ 1.5807165  -0.74958247  1.7951874  -1.6140056   4.7207294   0.00530522],[-6.074614   -0.29060683  1.5666877   5.1673365  -1.5657994  -0.9135002 ],[ 1.5436739  -0.47200057  1.3211058  -1.1488339   4.707196    3.0665462 ],[ 3.5691524 -1.2828643  2.287954  -4.993913   2.1887739  3.6814458]
[ 1.5731485 -0.6609813  1.7176402 -1.416322  -1.5975593 -0.0611776],[ 0.22065723 -0.23920044  1.5304059  -1.0330449   4.573637   -0.9394275 ],[ 1.5442388 -0.5264875  1.4479795 -1.3544645 -1.5405805  3.0064385],[ 3.4320238 -1.3305681  2.2891285  1.3698504  2.1050909 -2.488114 ]
[ 1.5731485 -0.6609813  1.7176402 -1.416322  -1.5975593 -0.0611776],[ 0.22065723 -0.23920044  1.5304059  -1.0330449   4.573637   -0.9394275 ],[ 1.5442388 -0.5264875  1.4479795 -1.3544645 -1.5405805  3.0064385],[ 3.4320238 -1.3305681  2.2891285  1.3698504  2.1050909 -2.488114 ]
[ 1.5731485 -0.6609813  1.7176402 -1.416322  -1.5975593 -0.0611776],[ 0.22065723 -0.23920044  1.5304059  -1.0330449   4.573637   -0.9394275 ],[ 1.5442388 -0.5264875  1.4479795 -1.3544645 -1.5405805  3.0064385],[ 3.4320238 -1.3305681  2.2891285  1.3698504  2.1050909 -2.488114 ]
[ 1.5731485 -0.6609813  1.7176402 -1.416322  -1.5975593 -0.0611776],[ 0.22065723 -0.23920044  1.5304059  -1.0330449   4.573637   -0.9394275 ],[ 1.5442388 -0.5264875  1.4479795 -1.3544645 -1.5405805  3.0064385],[ 3.4320238 -1.3305681  2.2891285  1.3698504  2.1050909 -2.488114 ]
[ 1.5731485 -0.6609813  1.7176402 -1.416322  -1.5975593 -0.0611776],[ 0.22065723 -0.23920044  1.5304059  -1.0330449   4.573637   -0.9394275 ],[ 1.5442388 -0.5264875  1.4479795 -1.3544645 -1.5405805  3.0064385],[ 3.4320238 -1.3305681  2.2891285  1.3698504  2.1050909 -2.488114 ]
[ 1.5731485 -0.6609813  1.7176402 -1.416322  -1.5975593 -0.0611776],[ 0.22065723 -0.23920044  1.5304059  -1.0330449   4.573637   -0.9394275 ],[ 1.5442388 -0.5264875  1.4479795 -1.3544645 -1.5405805  3.0064385],[ 3.4320238 -1.3305681  2.2891285  1.3698504  2.1050909 -2.488114 ]
[ 1.5731485 -0.6609813  1.7176402 -1.416322  -1.5975593 -0.0611776],[ 0.22065723 -0.23920044  1.5304059  -1.0330449   4.573637   -0.9394275 ],[ 1.5442388 -0.5264875  1.4479795 -1.3544645 -1.5405805  3.0064385],[ 3.4320238 -1.3305681  2.2891285  1.3698504  2.1050909 -2.488114 ]
[ 1.5731485 -0.6609813  1.7176402 -1.416322  -1.5975593 -0.0611776],[ 0.22065723 -0.23920044  1.5304059  -1.0330449   4.573637   -0.9394275 ],[ 1.5442388 -0.5264875  1.4479795 -1.3544645 -1.5405805  3.0064385],[ 3.4320238 -1.3305681  2.2891285  1.3698504  2.1050909 -2.488114 ]
[ 1.5731485 -0.6609813  1.7176402 -1.416322  -1.5975593 -0.0611776],[ 0.22065723 -0.23920044  1.5304059  -1.0330449   4.573637   -0.9394275 ],[ 1.5442388 -0.5264875  1.4479795 -1.3544645 -1.5405805  3.0064385],[ 3.4320238 -1.3305681  2.2891285  1.3698504  2.1050909 -2.488114 ]
