generation,piece1,piece2,piece3,piece4
0,110.02711319200068,148.60275451580347,100.11480743120747,168.06840426144944
1,130.8280404085615,191.07802848686498,100.01501939483659,137.5126250618079
2,130.8280404085615,191.07802848686498,100.01501939483659,137.5126250618079
3,130.8280404085615,191.07802848686498,100.01501939483659,137.5126250618079
4,130.8280404085615,191.07802848686498,100.01501939483659,137.5126250618079
5,130.8280404085615,191.07802848686498,100.01501939483659,137.5126250618079
6,115.5102616137951,291.7084933700369,126.91368823652505,105.24567207055792
7,115.5102616137951,291.7084933700369,126.91368823652505,105.24567207055792
8,115.5102616137951,291.7084933700369,126.91368823652505,105.24567207055792
9,115.5102616137951,291.7084933700369,126.91368823652505,105.24567207055792
10,96.64058986462962,118.84196403390054,92.0256702744509,333.545249578492
11,108.8145581103198,131.58254477142447,101.63547211196307,430.4977369366679
12,108.8145581103198,131.58254477142447,101.63547211196307,430.4977369366679
13,104.40678238806359,129.08162911230244,99.65869749159371,419.76421289962383
14,101.85101801003825,751.8708451520462,118.6258406430149,135.6408389274972
15,98.26972954930388,561.3025906530368,112.93829899260865,112.753479121838
16,98.26972954930388,561.3025906530368,112.93829899260865,112.753479121838
17,98.26972954930388,561.3025906530368,112.93829899260865,112.753479121838
18,98.26972954930388,561.3025906530368,112.93829899260865,112.753479121838
19,98.26972954930388,561.3025906530368,112.93829899260865,112.753479121838
20,98.26972954930388,561.3025906530368,112.93829899260865,112.753479121838
21,98.88935619425837,876.6489041401651,114.37382394229695,138.82922069046978
22,98.88935619425837,876.6489041401651,114.37382394229695,138.82922069046978
23,98.88935619425837,876.6489041401651,114.37382394229695,138.82922069046978
24,98.88935619425837,876.6489041401651,114.37382394229695,138.82922069046978
25,98.88935619425837,876.6489041401651,114.37382394229695,138.82922069046978
26,98.88935619425837,876.6489041401651,114.37382394229695,138.82922069046978
27,98.88935619425837,876.6489041401651,114.37382394229695,138.82922069046978
28,98.88935619425837,876.6489041401651,114.37382394229695,138.82922069046978
29,98.88935619425837,876.6489041401651,114.37382394229695,138.82922069046978
30,98.88935619425837,876.6489041401651,114.37382394229695,138.82922069046978
31,98.88935619425837,876.6489041401651,114.37382394229695,138.82922069046978
32,98.88935619425837,876.6489041401651,114.37382394229695,138.82922069046978
33,98.88935619425837,876.6489041401651,114.37382394229695,138.82922069046978
34,98.88935619425837,876.6489041401651,114.37382394229695,138.82922069046978
35,98.88935619425837,876.6489041401651,114.37382394229695,138.82922069046978
36,98.88935619425837,876.6489041401651,114.37382394229695,138.82922069046978
37,98.88935619425837,876.6489041401651,114.37382394229695,138.82922069046978
38,98.88935619425837,876.6489041401651,114.37382394229695,138.82922069046978
39,98.88935619425837,876.6489041401651,114.37382394229695,138.82922069046978
40,98.88935619425837,876.6489041401651,114.37382394229695,138.82922069046978
41,98.88935619425837,876.6489041401651,114.37382394229695,138.82922069046978
42,98.88935619425837,876.6489041401651,114.37382394229695,138.82922069046978
43,98.88935619425837,876.6489041401651,114.37382394229695,138.82922069046978
44,98.88935619425837,876.6489041401651,114.37382394229695,138.82922069046978
45,98.88935619425837,876.6489041401651,114.37382394229695,138.82922069046978
46,98.88935619425837,876.6489041401651,114.37382394229695,138.82922069046978
47,98.88935619425837,876.6489041401651,114.37382394229695,138.82922069046978
48,98.88935619425837,876.6489041401651,114.37382394229695,138.82922069046978
