% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, interquartile range, further/more values", seed=1065573, Thu Sep  4 15:42:19 2025, <python>{}</python>
1 3 1.9943875405403357 1.0000333338888951 11.476592552395468 1.1476592552395468e+01 12.962023588321385 1025.0 760.1425555857033   
2 6 2.02890180181096 1.165628100713099 11.476592552395468 1.1484218071820543e+01 11.56367169995389 12.377546155721054 0.6699960629253816   
3 9 2.3614585001231987 1.2180351720275149 11.476592552395468 1.2204668715298999e+01 1025.0 1025.0 759.5964984635257   
4 12 2.1690362852564933 1.2685211423310545 11.476592552395468 1.3796731456670102e+01 14.088399366595457 1025.0 758.4024514074973   
5 15 2.1217985176975214 1.3670346202928483 8.539700084883336 8.5397000848833358e+00 14.15351668801037 1025.0 762.3452249363374   
6 18 1.8217571933398629 1.3874843079640675 7.428295803997154 7.4282958039971536e+00 1025.0 1025.0 763.1787781470022   
7 21 1.5229208487237549 1.4462487700277311 7.428295803997154 7.6367304874767976e+00 9.466305331854048 12.282519988127838 3.484342125488281   
8 24 1.3124142458004449 1.3599464919006596 7.428295803997154 7.6648544882460401e+00 7.680362542116131 1025.0 763.0013591338155   
9 27 1.155004372927075 1.4500506897355974 7.428295803997154 7.7201167809373894e+00 8.699837648394793 1025.0 762.9599124142969   
10 30 1.0025009794914153 1.538941735206685 7.428295803997154 8.4541915400906262e+00 1025.0 1025.0 762.409356344932   
