% # columns="iteration, evaluation, void, void, void, xmean", seed=1065573, Thu Sep  4 15:42:19 2025, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 3 0 0 0 1.1891613665143126 -0.011166782848412882 0.6876842224039008
2 6 0 0 0 1.2829033907062897 0.8704434001549582 0.509784604983891
3 9 0 0 0 2.3840219160898695 1.3211675618741383 1.1276006176563818
4 12 0 0 0 1.1183278378459325 1.2447862051940608 1.3504673847945805
5 15 0 0 0 1.653724420683743 1.973810970853454 1.287655043874651
6 18 0 0 0 1.913766942175828 1.7969031953645007 1.180061941471329
7 21 0 0 0 1.730754764356418 1.903393903855188 0.9794627075112339
8 24 0 0 0 1.3395413007387353 1.7164262456626058 1.0134888356564808
9 27 0 0 0 1.8479298137355369 1.994374711609042 1.0916256191531606
10 30 0 0 0 1.6594212291848616 1.8739871046728707 1.3206397182116645
