% # columns="iteration, evaluation, sigma, max axis length,  min axis length, all principal axes lengths  (sorted square roots of eigenvalues of C)", seed=1065573, Thu Sep  4 15:42:19 2025
1 3 1.9943875405403357 1.0000333338888951 1.0 1.0 1.0000166668055563 1.0000333338888951
2 6 2.02890180181096 1.087391406022267 0.9328802259974951 0.9328802259974951 0.9805839815172167 1.087391406022267
3 9 2.3614585001231987 1.1055781392756816 0.9076734109700298 0.9076734109700298 0.9699359035526535 1.1055781392756816
4 12 2.1690362852564933 1.1715073641783775 0.9235221432932501 0.9235221432932501 0.9502676616512785 1.1715073641783775
5 15 2.1217985176975214 1.1991097080607815 0.8771611854306268 0.8771611854306268 0.9447980190678321 1.1991097080607815
6 18 1.8217571933398629 1.1942762525017359 0.8607493761527029 0.8607493761527029 0.919993014836088 1.1942762525017359
7 21 1.5229208487237549 1.1754313656061148 0.8127449370854618 0.8127449370854618 0.8969929116422938 1.1754313656061148
8 24 1.3124142458004449 1.0966489888765925 0.8063912774567454 0.8063912774567454 0.878597031915088 1.0966489888765925
9 27 1.155004372927075 1.1003076621383845 0.7588063437554827 0.7588063437554827 0.8614423322208425 1.1003076621383845
10 30 1.0025009794914153 1.1127669412074297 0.7230728205951094 0.7230728205951094 0.8434168547974572 1.1127669412074297
