config_0
"[ 0.73598903 -1.2847791   2.9430425   2.0187783   0.9725235   1.9318297
  1.0621974 ]"
"[ 0.49693924 -1.2274991   2.9233205   2.0943952   1.1563892   1.7788643
  1.2302275 ]"
"[ 2.6120453  -1.3542919   0.13612726 -2.0828729  -1.109294   -1.8098211
  2.0853486 ]"
"[ 2.237547   -1.3060517   0.16917682 -2.0277436  -0.82068765 -2.047634
  2.1630216 ]"
"[ 2.180593   -1.3560636   0.11150385 -2.0912964  -0.7436402  -2.087255
  2.2316139 ]"
"[ 2.180593   -1.3560636   0.11150385 -2.0912964  -0.7436402  -2.087255
  2.2316139 ]"
"[ 2.2060294  -1.350041    0.06373667 -2.0935087  -0.79073066 -2.0943952
  2.2387614 ]"
"[ 2.2060294  -1.350041    0.06373667 -2.0935087  -0.79073066 -2.0943952
  2.2387614 ]"
"[ 2.2060294  -1.350041    0.06373667 -2.0935087  -0.79073066 -2.0943952
  2.2387614 ]"
"[ 2.2390194  -1.3274668   0.08651146 -2.0943952  -0.8245796  -2.0943952
  2.190158  ]"
"[ 2.2390194  -1.3274668   0.08651146 -2.0943952  -0.8245796  -2.0943952
  2.190158  ]"
"[ 2.2390194  -1.3274668   0.08651146 -2.0943952  -0.8245796  -2.0943952
  2.190158  ]"
"[ 2.2390194  -1.3274668   0.08651146 -2.0943952  -0.8245796  -2.0943952
  2.190158  ]"
"[ 2.2390194  -1.3274668   0.08651146 -2.0943952  -0.8245796  -2.0943952
  2.190158  ]"
"[ 2.2390194  -1.3274668   0.08651146 -2.0943952  -0.8245796  -2.0943952
  2.190158  ]"
"[ 2.2390194  -1.3274668   0.08651146 -2.0943952  -0.8245796  -2.0943952
  2.190158  ]"
"[ 2.2390194  -1.3274668   0.08651146 -2.0943952  -0.8245796  -2.0943952
  2.190158  ]"
"[ 2.2390194  -1.3274668   0.08651146 -2.0943952  -0.8245796  -2.0943952
  2.190158  ]"
"[ 2.2390194  -1.3274668   0.08651146 -2.0943952  -0.8245796  -2.0943952
  2.190158  ]"
"[ 2.2285094  -1.3465755   0.06256655 -2.0943952  -0.8056668  -2.0943952
  2.2298536 ]"
"[-0.8976674  1.3343091  0.071256   2.0943952  2.3137412 -2.0943952
  2.2011259]"
"[-0.8976674  1.3343091  0.071256   2.0943952  2.3137412 -2.0943952
  2.2011259]"
"[-0.8976674  1.3343091  0.071256   2.0943952  2.3137412 -2.0943952
  2.2011259]"
"[-0.8976674  1.3343091  0.071256   2.0943952  2.3137412 -2.0943952
  2.2011259]"
"[-0.8976674  1.3343091  0.071256   2.0943952  2.3137412 -2.0943952
  2.2011259]"
"[-0.8976674  1.3343091  0.071256   2.0943952  2.3137412 -2.0943952
  2.2011259]"
"[-0.8976674  1.3343091  0.071256   2.0943952  2.3137412 -2.0943952
  2.2011259]"
"[ 2.2441044  -1.3461493   0.06328871 -2.0943952  -0.82037675 -2.0943952
  2.2237554 ]"
"[-0.89997727  1.3421253   0.06199404  2.0943952   2.31983    -2.0943952
  2.2199426 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
"[-0.8819881   1.3271227   0.06972139  2.0943952   2.293917   -2.0943952
  2.1923792 ]"
