generation,best_individual
0,17
1,0
2,39
3,20
4,10
5,3
6,8
7,7
8,16
9,0
10,7
11,30
12,26
13,31
14,19
15,24
16,38
17,26
18,19
19,7
20,19
21,32
22,15
23,13
24,34
25,29
26,37
27,36
28,16
29,28
30,27
31,15
32,1
33,2
34,5
35,22
36,35
37,15
38,10
39,14
40,37
41,8
42,11
43,27
44,9
45,29
46,23
47,1
48,31
49,15
50,21
51,18
52,39
53,11
54,21
55,2
56,32
57,31
58,32
59,28
60,16
61,22
62,2
63,31
64,2
65,2
66,20
67,23
68,17
69,14
70,14
71,33
72,29
73,4
74,6
75,4
76,34
77,31
78,25
79,18
80,34
81,39
82,15
83,15
84,21
85,25
86,7
87,4
88,10
89,32
90,20
91,15
92,26
93,25
94,28
95,11
96,23
97,16
98,38
99,10
