generation,piece1
0,11.632457823604646
1,13.055672762732641
2,12.348024441900181
3,11.658245699476009
4,12.442046684181628
5,12.442046684181628
6,12.618454810050185
7,12.618454810050185
8,12.618454810050185
9,12.79274821139573
10,12.79274821139573
11,12.79274821139573
12,12.79274821139573
13,12.79274821139573
14,12.79274821139573
15,12.79274821139573
16,12.79274821139573
17,12.79274821139573
18,12.79274821139573
19,12.680149548745227
20,12.775017724733246
21,12.775017724733246
22,12.775017724733246
23,12.775017724733246
24,12.775017724733246
25,12.775017724733246
26,12.775017724733246
27,12.714853071780375
28,12.732577041122711
29,12.847677732998797
30,12.847677732998797
31,12.847677732998797
32,12.847677732998797
33,12.847677732998797
34,12.847677732998797
35,12.847677732998797
36,12.847677732998797
37,12.847677732998797
38,12.847677732998797
39,12.847677732998797
40,12.847677732998797
41,12.847677732998797
42,12.847677732998797
43,12.847677732998797
44,12.847677732998797
45,12.847677732998797
46,12.847677732998797
47,12.847677732998797
48,12.847677732998797
49,12.847677732998797
50,12.847677732998797
51,12.847677732998797
52,12.847677732998797
53,12.847677732998797
54,12.847677732998797
55,12.847677732998797
56,12.847677732998797
57,12.847677732998797
58,12.847677732998797
59,12.847677732998797
60,12.847677732998797
61,12.847677732998797
62,12.847677732998797
63,12.847677732998797
64,12.847677732998797
65,12.847677732998797
66,12.847677732998797
67,12.847677732998797
68,12.847677732998797
69,12.847677732998797
70,12.847677732998797
71,12.847677732998797
72,12.847677732998797
73,12.730429227091966
74,12.730429227091966
75,12.730429227091966
76,12.730429227091966
77,12.730429227091966
78,12.730429227091966
79,12.730429227091966
80,12.730429227091966
81,12.730429227091966
82,12.730429227091966
83,12.730429227091966
84,12.730429227091966
85,12.730429227091966
86,12.730429227091966
87,12.730429227091966
88,12.730429227091966
89,12.730429227091966
90,12.730429227091966
91,12.730429227091966
92,12.730429227091966
93,12.730429227091966
94,12.730429227091966
95,12.730429227091966
96,12.730429227091966
97,12.729859241613447
98,12.729859241613447
99,12.729859241613447
