generation,piece1
0,1.7489258427321257
1,1.5143224130386845
2,1.5235097116580003
3,1.5235097116580003
4,1.5235097116580003
5,1.5235097116580003
6,1.5235097116580003
7,1.5235097116580003
8,1.5235097116580003
9,1.5235097116580003
10,1.5235097116580003
11,1.5235097116580003
12,1.5235097116580003
13,1.5235097116580003
14,1.479085895724195
15,1.479085895724195
16,1.479085895724195
17,2.078049721429084
18,2.078049721429084
19,2.078049721429084
20,2.494572651339245
21,2.494572651339245
22,2.494572651339245
23,2.494572651339245
24,2.494572651339245
25,2.494572651339245
26,2.494572651339245
27,2.494572651339245
28,2.494572651339245
29,2.494572651339245
30,2.494572651339245
31,2.494572651339245
32,2.505801250039564
33,2.505801250039564
34,2.505801250039564
35,2.505801250039564
36,2.505801250039564
37,2.505801250039564
38,2.505801250039564
39,2.505801250039564
40,2.505801250039564
41,2.505801250039564
42,2.505801250039564
43,2.505801250039564
44,2.505801250039564
45,2.505801250039564
46,2.505801250039564
47,2.505801250039564
48,2.505801250039564
49,2.505801250039564
50,2.505801250039564
51,2.505801250039564
52,2.505801250039564
53,2.505801250039564
54,2.505801250039564
55,2.505801250039564
56,2.505801250039564
57,2.505801250039564
58,2.505801250039564
59,2.506419269046535
60,2.506419269046535
61,2.506419269046535
62,2.506419269046535
63,2.506419269046535
64,2.506419269046535
65,2.506419269046535
66,2.506419269046535
67,2.506419269046535
68,2.506419269046535
69,2.506419269046535
70,2.506419269046535
71,2.506419269046535
72,2.506419269046535
73,2.506419269046535
74,2.506419269046535
75,2.506419269046535
76,2.506419269046535
77,2.506419269046535
78,2.506419269046535
79,2.506419269046535
80,2.506419269046535
81,2.506419269046535
82,2.506419269046535
83,2.506419269046535
84,2.506419269046535
85,2.481768798558616
86,2.51728592970479
87,2.51728592970479
88,2.51728592970479
89,2.51728592970479
90,2.51728592970479
91,2.51728592970479
92,2.51728592970479
93,2.51728592970479
94,2.51728592970479
95,2.51728592970479
96,2.51728592970479
97,2.51728592970479
98,2.51728592970479
99,2.51728592970479
