xp,yp,theta
-0.4495476665589861,0.27720001759127333,-1.2318600105407131
-0.4535305686853976,-0.050825891748700475,-1.501624467038124
-0.4535305686853976,-0.050825891748700475,-1.501624467038124
-0.4178219782613186,-0.07865251098087345,-0.6969021478648041
-0.4178219782613186,-0.07865251098087345,-0.6969021478648041
-0.4178219782613186,-0.07865251098087345,-0.6969021478648041
-0.4178219782613186,-0.07865251098087345,-0.6969021478648041
-0.4076716800290531,-0.04332527895406149,-1.0979804005254568
-0.4076716800290531,-0.04332527895406149,-1.0979804005254568
-0.4076716800290531,-0.04332527895406149,-1.0979804005254568
-0.4076716800290531,-0.04332527895406149,-1.0979804005254568
-0.4000064925075681,-0.08497759949009745,-1.1213911938107863
-0.4000064925075681,-0.08497759949009745,-1.1213911938107863
-0.40029493002321437,-0.06912197614287555,-1.109079766186054
-0.40029493002321437,-0.06912197614287555,-1.109079766186054
-0.40029493002321437,-0.06912197614287555,-1.109079766186054
-0.40000558073870307,-0.0683861562929772,-1.1055617732888443
-0.40000558073870307,-0.0683861562929772,-1.1055617732888443
-0.40000558073870307,-0.0683861562929772,-1.1055617732888443
-0.40000558073870307,-0.0683861562929772,-1.1055617732888443
-0.40000558073870307,-0.0683861562929772,-1.1055617732888443
-0.40000558073870307,-0.0683861562929772,-1.1055617732888443
-0.40000558073870307,-0.0683861562929772,-1.1055617732888443
-0.40000558073870307,-0.0683861562929772,-1.1055617732888443
-0.40000558073870307,-0.0683861562929772,-1.1055617732888443
-0.40000558073870307,-0.0683861562929772,-1.1055617732888443
-0.40000558073870307,-0.0683861562929772,-1.1055617732888443
-0.40000558073870307,-0.0683861562929772,-1.1055617732888443
-0.4007085766410818,-0.06463898642524177,-1.0722696393052245
-0.4007085766410818,-0.06463898642524177,-1.0722696393052245
-0.4007085766410818,-0.06463898642524177,-1.0722696393052245
-0.4007085766410818,-0.06463898642524177,-1.0722696393052245
-0.4007085766410818,-0.06463898642524177,-1.0722696393052245
-0.4007085766410818,-0.06463898642524177,-1.0722696393052245
-0.4007085766410818,-0.06463898642524177,-1.0722696393052245
-0.4007085766410818,-0.06463898642524177,-1.0722696393052245
-0.4007085766410818,-0.06463898642524177,-1.0722696393052245
-0.4007085766410818,-0.06463898642524177,-1.0722696393052245
-0.4007085766410818,-0.06463898642524177,-1.0722696393052245
-0.4000814958615282,-0.06946780428619037,-1.0679315690579996
-0.4000191984293433,-0.06779224108493112,-1.0743127447339682
-0.4000191984293433,-0.06779224108493112,-1.0743127447339682
-0.4000191984293433,-0.06779224108493112,-1.0743127447339682
-0.4000191984293433,-0.06779224108493112,-1.0743127447339682
-0.4000191984293433,-0.06779224108493112,-1.0743127447339682
-0.4000191984293433,-0.06779224108493112,-1.0743127447339682
-0.4000191984293433,-0.06779224108493112,-1.0743127447339682
-0.4000191984293433,-0.06779224108493112,-1.0743127447339682
-0.4000191984293433,-0.06779224108493112,-1.0743127447339682
-0.4000191984293433,-0.06779224108493112,-1.0743127447339682
