test_id,theta_deg,q1,q2,q3,q4,q5,q6,tau_grav_1,tau_grav_2,tau_grav_3,tau_grav_4,tau_grav_5,tau_grav_6,tau_ext_1,tau_ext_2,tau_ext_3,tau_ext_4,tau_ext_5,tau_ext_6,tau_tot_1,tau_tot_2,tau_tot_3,tau_tot_4,tau_tot_5,tau_tot_6,tau_tot_norm,inv_manip,delta_q
1,-60,2.7364097,4.532557,2.1198652,-0.8659327,-1.5944375,-4.7210255,2.291586973563483e-32,-11.21868377191589,-19.175184290043205,-0.5626873125041403,-0.01125242882341504,0.004159565061553017,-2.0,0.0,1.3877787807814457e-17,-2.7755575615628914e-17,1.758323765695133,0.9527801307034225,-2.0,-11.21868377191589,-19.175184290043205,-0.5626873125041403,1.747071336871718,0.9569396957649755,22.401588492347397,20.872978919807508,0.5604610615503745
2,-30.0,2.416611433029175,-1.181342439060547,1.8226121107684534,-2.7360946140685023,-1.563422981892721,-1.5698941389666956,9.37063964858944e-31,-35.21203296374276,-18.32241001526492,-2.329667494602125,0.012329494891203385,0.006890864089244331,-2.0,0.0,0.0,1.1102230246251565e-16,-1.0007444122585376,1.731573736984438,-2.0,-35.21203296374276,-18.32241001526492,-2.329667494602125,-0.9884149173673342,1.7384646010736824,39.8625707658281,11.027158897605167,0.7005240398028313
3,-60.0,2.4844958782196045,-1.2819624704173584,1.7984798590289515,-1.864180704156393,-2.616671148930685,0.2440221607685089,2.230786195192518e-31,-32.509991210463355,-19.839564952096357,-2.4855662868337873,-0.6520075538881966,-0.014685511588620859,-2.0,0.0,2.7755575615628914e-17,5.551115123125783e-17,0.4425720894455001,0.9774423280210198,-2.0,-32.509991210463355,-19.839564952096357,-2.4855662868337873,-0.20943546444269656,0.962756816432399,38.23161871619423,21.97687083752308,0.7270542535762426
4,0.0,2.526808023452759,-1.799110551873678,2.4054487387286585,-2.1866799793639125,-1.5542267004596155,2.6722517013549805,2.178763313764069e-31,-9.302445090410446,-19.37064426032876,-2.9706996647938695,-0.548014501926664,-0.010479665695378872,-2.0,0.0,2.7755575615628914e-17,5.551115123125783e-17,-0.019090641514776463,1.9996343510484542,-2.0,-9.302445090410446,-19.37064426032876,-2.9706996647938695,-0.5671051434414405,1.9891546853530753,21.882887031301312,27.43234333131216,0.65133062683419
5,45.0,2.4481801986694336,-0.9696028989604493,1.8829601446734827,-3.2900835476317347,-1.554371182118551,1.5778119564056396,1.2836751902666235e-30,-40.631857741810855,-15.470812346884387,-3.274901751184432,0.023434961632686768,0.0008098615911639184,-2.0,0.0,-5.551115123125783e-17,-1.1102230246251565e-16,-1.44294981481255,1.3846943555204767,-2.0,-40.631857741810855,-15.470812346884387,-3.274901751184432,-1.4195148531798631,1.3855042171116407,43.691572689217864,11.486273333569192,0.6890375036617229
6,90.0,2.0026228427886963,-1.0648410481265564,1.7185271422015589,-1.0928587478450318,0.03870123624801636,1.2479023933410645,9.563612298445266e-31,-38.568782772450625,-17.010176358932853,-1.1669010870879646,0.6239510094271382,0.012979151970391456,-2.0,0.0,0.0,-1.1102230246251565e-16,1.810207505876663,-0.03290260243996629,-2.0,-38.568782772450625,-17.010176358932853,-1.1669010870879646,2.434158515303801,-0.019923450469574833,42.28692808751936,280.23648461915263,0.8099304450360233
7,-30.0,-0.4898927847491663,-2.101778646508688,-1.4220973253250122,-1.3172285717776795,-5.223900381718771,0.29893508553504944,-1.0019003478877084e-31,43.70737738621615,21.181816558466565,2.664871260666901,-0.045041426348764624,0.021146419514052717,-2.0,0.0,-5.551115123125783e-17,0.0,0.25672087495366913,1.7295841688205706,-2.0,43.70737738621615,21.181816558466565,2.664871260666901,0.2116794486049045,1.7507305883346234,48.715660678219976,10.264523114699088,0.7120931431808414
8,0.0,2.3076064586639404,-1.3282729250243683,1.951245133076803,-2.2300759754576625,-1.5758350531207483,1.5766067504882812,2.373083529072354e-30,-30.274221766528264,-19.591389138059796,-3.3828845007370685,-0.013760604442768498,0.003181564695752072,-2.0,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,-0.0725989284167452,1.9986565425838514,-2.0,-30.274221766528264,-19.591389138059796,-3.3828845007370685,-0.0863595328595137,2.0018381072796037,36.329185970096006,12.423521255515828,0.7090212007780735
9,-30.0,-3.5672689119922083,-1.4758638379028817,1.9072426001178187,-1.4604488101652642,-1.6062710920916956,1.4203931093215942,1.2669155916301485e-30,-24.53698155131753,-20.320396556259926,-2.191130507451616,0.0788418642057862,-0.05035499615530836,-2.0,0.0,-4.163336342344337e-17,-1.3877787807814457e-16,1.0312317383935707,1.7125615638659624,-2.0,-24.53698155131753,-20.320396556259926,-2.191130507451616,1.110073602599357,1.662206567710654,32.0589804396673,13.199537170989043,0.6966111984494492
10,45.0,1.991189956665039,-1.317534552221634,2.4801812807666224,-3.4961310825743617,-1.43516713777651,1.5230153799057007,1.2254440930944901e-30,-22.348615041836123,-11.202706601393482,-3.2813125691559746,0.1963729935656462,0.0016967094811524142,-2.0,0.0,0.0,1.1102230246251565e-16,-1.381734665610942,1.4326840382854438,-2.0,-22.348615041836123,-11.202706601393482,-3.2813125691559746,-1.1853616720452957,1.4343807477665962,25.36120604554735,29.496045441725233,0.6752385191228844
11,-30.0,2.3769195079803467,-1.4986998003772278,1.9541118780719202,-1.5739895306029261,-1.8926995436297815,0.987227201461792,-3.381894059772557e-30,-23.442929487906547,-20.238604550021314,-2.3151063297941192,-0.0411570292482335,-0.0038508890521556927,-2.0,0.0,-1.3877787807814457e-17,0.0,0.8739248805579645,1.7065559702857962,-2.0,-23.442929487906547,-20.238604550021314,-2.3151063297941192,0.832767851309731,1.7027050812336406,31.178910842317574,14.435842990893608,0.7272177788980904
12,0.0,-4.282005612050192,-1.802681108514303,2.4401212374316614,-2.253880640069479,-1.5709131399737757,1.5627403259277344,1.2047289676671116e-30,-9.216845229184962,-19.439688823970997,-3.40134319728788,0.005712209408164082,0.0003485314652296387,-2.0,0.0,2.220446049250313e-16,1.1102230246251565e-16,-0.09125667378003932,1.997916956488173,-2.0,-9.216845229184962,-19.439688823970997,-3.40134319728788,-0.08554446437187524,1.9982654879534025,21.964090145349505,29.318346034472263,0.6309636650890544
13,-60.0,-0.03496677080263311,-2.223323961297506,-1.0721105337142944,-3.4726692638792933,-1.5749638716327112,1.5528371334075928,-6.209179750794664e-34,46.21907362062524,19.208867475841068,-0.5130041527047631,0.008281456218698469,-0.01873564775161818,-2.0,0.0,-6.938893903907228e-18,-1.214306433183765e-17,1.7694259293213621,0.9322643322987417,-2.0,46.21907362062524,19.208867475841068,-0.5130041527047631,1.7777073855400607,0.9135286845471235,50.13423289051092,11.413965955410493,0.7365754510060804
14,-90.0,-3.53563100496401,-1.6154786549010218,2.074448887501852,-0.46930380285296636,-1.8047030607806605,1.5534722805023193,1.1299818848962612e-32,-14.926900807925177,-16.913863819244263,0.9782875598950955,-0.0022610266295981854,-0.02026563218273845,-2.0,0.0,3.122502256758253e-17,-2.7755575615628914e-17,1.9998932182760516,0.02010398173818117,-2.0,-14.926900807925177,-16.913863819244263,0.9782875598950955,1.9976321916464534,-0.00016165044455728264,22.75607035440557,21.12644942340115,0.7068090692027154
15,90.0,-3.4957101980792444,-1.2961570781520386,2.0434592405902308,-0.7268748444369812,-1.7992284933673304,0.7903189659118652,-8.461475494453311e-32,-25.217789577505293,-13.153888904228896,1.4854960748283688,0.006812758808342506,0.0006875968728515486,-2.0,0.0,1.3877787807814457e-17,5.551115123125783e-17,1.999582739188965,-0.03979057255873539,-2.0,-25.217789577505293,-13.153888904228896,1.4854960748283688,2.0063954979973073,-0.03910297568588384,28.6215924610346,17.270594557540463,0.7307164990306846
16,90.0,-4.010712210332052,-1.1549570125392457,1.8205154577838343,-0.6829689306071778,-4.01833159128298,-5.476731363927023,1.5534933397199144e-31,-34.85196732003092,-16.882526109199862,-1.184453240189173,-0.016097013969854003,0.017496399721656175,-2.0,0.0,5.551115123125783e-17,-5.551115123125783e-17,1.9996968826564263,-0.026764030524108195,-2.0,-34.85196732003092,-16.882526109199862,-1.184453240189173,1.9835998686865723,-0.00926763080245202,38.846067982622735,16.728101652555072,0.5447050148576887
