generation,piece1
0,1.5227437025661903
1,1.5227437025661903
2,1.5227437025661903
3,1.4597098391641683
4,1.4597098391641683
5,1.4597098391641683
6,1.4597098391641683
7,2.5078112243817783
8,2.5445938784916096
9,2.5445938784916096
10,2.5445938784916096
11,2.5445938784916096
12,2.5445938784916096
13,2.5445938784916096
14,2.461527217857966
15,2.461527217857966
16,2.461527217857966
17,2.461527217857966
18,2.461527217857966
19,2.461527217857966
20,2.461527217857966
21,2.461527217857966
22,2.461527217857966
23,2.461527217857966
24,2.461527217857966
25,2.461527217857966
26,2.461527217857966
27,2.461527217857966
28,2.461527217857966
29,2.461527217857966
30,2.461527217857966
31,2.461527217857966
32,2.461527217857966
33,2.461527217857966
34,2.461527217857966
35,2.461527217857966
36,2.461527217857966
37,2.461527217857966
38,2.461527217857966
39,2.461527217857966
40,2.461527217857966
41,2.461527217857966
42,2.461527217857966
43,2.461527217857966
44,2.461527217857966
45,2.461527217857966
46,2.461527217857966
47,2.461527217857966
48,2.461527217857966
49,2.461527217857966
50,2.461527217857966
51,2.461527217857966
52,2.461527217857966
53,2.461527217857966
54,2.461527217857966
55,2.461527217857966
56,2.461527217857966
57,2.461527217857966
58,2.461527217857966
59,2.461527217857966
60,2.461527217857966
61,2.461527217857966
62,2.461527217857966
63,2.461527217857966
64,2.461527217857966
65,2.461527217857966
66,2.461527217857966
67,2.461527217857966
68,2.461527217857966
69,2.461527217857966
70,2.461527217857966
71,2.461527217857966
72,2.461527217857966
73,2.461527217857966
74,2.461527217857966
75,2.461527217857966
76,2.461527217857966
77,2.461527217857966
78,2.461527217857966
79,2.461527217857966
80,2.461527217857966
81,2.461527217857966
82,2.461527217857966
83,2.461527217857966
84,2.461527217857966
85,2.461527217857966
86,2.461527217857966
87,2.461527217857966
88,2.461527217857966
89,2.461527217857966
90,2.461527217857966
91,2.461527217857966
92,2.461527217857966
93,2.461527217857966
94,2.461527217857966
95,2.461527217857966
96,2.461527217857966
97,2.461527217857966
98,2.461527217857966
99,2.461527217857966
