generation,piece1,piece2,piece3,piece4
0,158.8230491698377,1888.3296514320602,157.3393808028892,151.53528142306197
1,117.377293785201,293.1750708489584,102.83029391349704,188.08516919240964
2,117.377293785201,293.1750708489584,102.83029391349704,188.08516919240964
3,117.377293785201,293.1750708489584,102.83029391349704,188.08516919240964
4,117.377293785201,293.1750708489584,102.83029391349704,188.08516919240964
5,117.377293785201,293.1750708489584,102.83029391349704,188.08516919240964
6,108.12576404457941,391.7860239148983,103.54487518207708,267.68365887198496
7,108.12576404457941,391.7860239148983,103.54487518207708,267.68365887198496
8,108.12576404457941,391.7860239148983,103.54487518207708,267.68365887198496
9,108.12576404457941,391.7860239148983,103.54487518207708,267.68365887198496
10,108.12576404457941,391.7860239148983,103.54487518207708,267.68365887198496
11,108.12576404457941,391.7860239148983,103.54487518207708,267.68365887198496
12,108.12576404457941,391.7860239148983,103.54487518207708,267.68365887198496
13,108.12576404457941,391.7860239148983,103.54487518207708,267.68365887198496
14,108.12576404457941,391.7860239148983,103.54487518207708,267.68365887198496
15,108.12576404457941,391.7860239148983,103.54487518207708,267.68365887198496
16,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
17,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
18,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
19,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
20,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
21,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
22,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
23,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
24,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
25,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
26,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
27,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
28,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
29,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
30,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
31,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
32,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
33,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
34,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
35,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
36,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
37,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
38,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
39,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
40,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
41,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
42,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
43,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
44,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
45,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
46,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
47,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
48,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
49,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
50,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
51,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
52,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
53,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
54,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
55,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
56,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
57,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
