x_b,y_b,theta_x_b,x_t,y_t,theta_x_t,x_p,y_p,q01,q02,q03,q04,q05,q06
0.3096999827392416,0.01735807447895943,0.0633521325586168,0.016455397785481878,0.0006816416605138279,0.42934059016870063,0.17998647803872525,0.25372528248337856,3.5737162739647834,-1.64214482891791,1.239541524444854,-1.7652409759164207,-1.483183697041526,0.6400271195924617
0.3096999827392416,0.01735807447895943,0.0633521325586168,0.016455397785481878,0.0006816416605138279,0.42934059016870063,0.17998647803872525,0.25372528248337856,3.5737162739647834,-1.64214482891791,1.239541524444854,-1.7652409759164207,-1.483183697041526,0.6400271195924617
0.3096999827392416,0.01735807447895943,0.0633521325586168,0.016455397785481878,0.0006816416605138279,0.42934059016870063,0.17998647803872525,0.25372528248337856,3.5737162739647834,-1.64214482891791,1.239541524444854,-1.7652409759164207,-1.483183697041526,0.6400271195924617
0.3096999827392416,0.01735807447895943,0.0633521325586168,0.016455397785481878,0.0006816416605138279,0.42934059016870063,0.17998647803872525,0.25372528248337856,3.5737162739647834,-1.64214482891791,1.239541524444854,-1.7652409759164207,-1.483183697041526,0.6400271195924617
0.12255903558469278,0.3583056040051561,0.16864327946610677,0.025443250967695775,0.008009080875389471,-0.525753611667552,-0.06114463066104878,0.48992599868955133,2.967077001181293,-1.502712092630507,1.7236877917919404,-1.6283177715563784,-1.408517636738087,0.957435232170677
0.12255903558469278,0.3583056040051561,0.16864327946610677,0.025443250967695775,0.008009080875389471,-0.525753611667552,-0.06114463066104878,0.48992599868955133,2.967077001181293,-1.502712092630507,1.7236877917919404,-1.6283177715563784,-1.408517636738087,0.957435232170677
0.12255903558469278,0.3583056040051561,0.16864327946610677,0.025443250967695775,0.008009080875389471,-0.525753611667552,-0.06114463066104878,0.48992599868955133,2.967077001181293,-1.502712092630507,1.7236877917919404,-1.6283177715563784,-1.408517636738087,0.957435232170677
0.12255903558469278,0.3583056040051561,0.16864327946610677,0.025443250967695775,0.008009080875389471,-0.525753611667552,-0.06114463066104878,0.48992599868955133,2.967077001181293,-1.502712092630507,1.7236877917919404,-1.6283177715563784,-1.408517636738087,0.957435232170677
0.16399374084210855,0.36513058617144634,0.11944393537765817,0.018579669429495398,0.009116691867935643,-0.3963903078844116,-0.03701521371845232,0.44495329574151166,3.0795116697433977,-1.4860236994142426,1.6953877762463587,-1.6579283335951411,-1.3742073064185392,0.9069232374370603
0.16399374084210855,0.36513058617144634,0.11944393537765817,0.018579669429495398,0.009116691867935643,-0.3963903078844116,-0.03701521371845232,0.44495329574151166,3.0795116697433977,-1.4860236994142426,1.6953877762463587,-1.6579283335951411,-1.3742073064185392,0.9069232374370603
0.16399374084210855,0.36513058617144634,0.11944393537765817,0.018579669429495398,0.009116691867935643,-0.3963903078844116,-0.03701521371845232,0.44495329574151166,3.0795116697433977,-1.4860236994142426,1.6953877762463587,-1.6579283335951411,-1.3742073064185392,0.9069232374370603
0.16399374084210855,0.36513058617144634,0.11944393537765817,0.018579669429495398,0.009116691867935643,-0.3963903078844116,-0.03701521371845232,0.44495329574151166,3.0795116697433977,-1.4860236994142426,1.6953877762463587,-1.6579283335951411,-1.3742073064185392,0.9069232374370603
0.16399374084210855,0.36513058617144634,0.11944393537765817,0.018579669429495398,0.009116691867935643,-0.3963903078844116,-0.03701521371845232,0.44495329574151166,3.0795116697433977,-1.4860236994142426,1.6953877762463587,-1.6579283335951411,-1.3742073064185392,0.9069232374370603
0.16399374084210855,0.36513058617144634,0.11944393537765817,0.018579669429495398,0.009116691867935643,-0.3963903078844116,-0.03701521371845232,0.44495329574151166,3.0795116697433977,-1.4860236994142426,1.6953877762463587,-1.6579283335951411,-1.3742073064185392,0.9069232374370603
0.271394835001977,-0.062418063588286055,-0.09194566326707286,0.010038488686856688,0.002975435259723387,0.5059034026314413,0.16309032309370208,0.28820728474167934,3.5412549410199694,-1.6065167519268289,1.1821613042290615,-1.7626687430522163,-1.45861830799485,0.6571299629994912
0.31590310741141603,-0.04787538856997553,-0.09215136125236247,0.005768503130254211,0.008992164038170616,0.3887169561249975,0.16705310452299288,0.3061579983761703,3.4535353020294783,-1.5628586762468326,1.2431103007456958,-1.7430431516429874,-1.409399526991633,0.6899392441825077
0.31590310741141603,-0.04787538856997553,-0.09215136125236247,0.005768503130254211,0.008992164038170616,0.3887169561249975,0.16705310452299288,0.3061579983761703,3.4535353020294783,-1.5628586762468326,1.2431103007456958,-1.7430431516429874,-1.409399526991633,0.6899392441825077
0.31590310741141603,-0.04787538856997553,-0.09215136125236247,0.005768503130254211,0.008992164038170616,0.3887169561249975,0.16705310452299288,0.3061579983761703,3.4535353020294783,-1.5628586762468326,1.2431103007456958,-1.7430431516429874,-1.409399526991633,0.6899392441825077
0.31590310741141603,-0.04787538856997553,-0.09215136125236247,0.005768503130254211,0.008992164038170616,0.3887169561249975,0.16705310452299288,0.3061579983761703,3.4535353020294783,-1.5628586762468326,1.2431103007456958,-1.7430431516429874,-1.409399526991633,0.6899392441825077
0.31590310741141603,-0.04787538856997553,-0.09215136125236247,0.005768503130254211,0.008992164038170616,0.3887169561249975,0.16705310452299288,0.3061579983761703,3.4535353020294783,-1.5628586762468326,1.2431103007456958,-1.7430431516429874,-1.409399526991633,0.6899392441825077
0.31590310741141603,-0.04787538856997553,-0.09215136125236247,0.005768503130254211,0.008992164038170616,0.3887169561249975,0.16705310452299288,0.3061579983761703,3.4535353020294783,-1.5628586762468326,1.2431103007456958,-1.7430431516429874,-1.409399526991633,0.6899392441825077
