generation,piece1,piece2,piece3,piece4
0,1.7660575330173083,1.0953303390775815,2.3015782003103653,3.0125817077791233
1,1.7660575330173083,1.0953303390775815,2.3015782003103653,3.0125817077791233
2,1.7660575330173083,1.0953303390775815,2.3015782003103653,3.0125817077791233
3,1.7660575330173083,1.0953303390775815,2.3015782003103653,3.0125817077791233
4,1.5400057530886284,1.406768843946315,2.5888358079913343,1.1589209857773106
5,1.5400057530886284,1.406768843946315,2.5888358079913343,1.1589209857773106
6,1.5400057530886284,1.406768843946315,2.5888358079913343,1.1589209857773106
7,1.5400057530886284,1.406768843946315,2.5888358079913343,1.1589209857773106
8,1.6588675719087247,1.7674335949086446,1.2154167890137348,3.366675113559192
9,1.6588675719087247,1.7674335949086446,1.2154167890137348,3.366675113559192
10,1.6588675719087247,1.7674335949086446,1.2154167890137348,3.366675113559192
11,1.6588675719087247,1.7674335949086446,1.2154167890137348,3.366675113559192
12,1.6588675719087247,1.7674335949086446,1.2154167890137348,3.366675113559192
13,1.6588675719087247,1.7674335949086446,1.2154167890137348,3.366675113559192
14,2.222139901940542,3.531313395664145,2.8040887168423745,2.5334842728732756
15,1.739117890130192,1.823560101250937,1.6998632735212813,2.853347655004681
16,1.739117890130192,1.823560101250937,1.6998632735212813,2.853347655004681
17,1.739117890130192,1.823560101250937,1.6998632735212813,2.853347655004681
18,1.739117890130192,1.823560101250937,1.6998632735212813,2.853347655004681
19,1.739117890130192,1.823560101250937,1.6998632735212813,2.853347655004681
20,1.739117890130192,1.823560101250937,1.6998632735212813,2.853347655004681
21,1.739117890130192,1.823560101250937,1.6998632735212813,2.853347655004681
22,1.739117890130192,1.823560101250937,1.6998632735212813,2.853347655004681
23,1.739117890130192,1.823560101250937,1.6998632735212813,2.853347655004681
24,1.739117890130192,1.823560101250937,1.6998632735212813,2.853347655004681
25,1.739117890130192,1.823560101250937,1.6998632735212813,2.853347655004681
26,1.739117890130192,1.823560101250937,1.6998632735212813,2.853347655004681
27,1.739117890130192,1.823560101250937,1.6998632735212813,2.853347655004681
28,1.739117890130192,1.823560101250937,1.6998632735212813,2.853347655004681
29,1.739117890130192,1.823560101250937,1.6998632735212813,2.853347655004681
30,1.739117890130192,1.823560101250937,1.6998632735212813,2.853347655004681
31,1.739117890130192,1.823560101250937,1.6998632735212813,2.853347655004681
32,1.739117890130192,1.823560101250937,1.6998632735212813,2.853347655004681
33,1.739117890130192,1.823560101250937,1.6998632735212813,2.853347655004681
34,1.739117890130192,1.823560101250937,1.6998632735212813,2.853347655004681
35,1.739117890130192,1.823560101250937,1.6998632735212813,2.853347655004681
36,1.739117890130192,1.823560101250937,1.6998632735212813,2.853347655004681
37,1.739117890130192,1.823560101250937,1.6998632735212813,2.853347655004681
38,1.739117890130192,1.823560101250937,1.6998632735212813,2.853347655004681
39,1.739117890130192,1.823560101250937,1.6998632735212813,2.853347655004681
40,1.739117890130192,1.823560101250937,1.6998632735212813,2.853347655004681
