xp,yp,theta
-0.35757164555588666,0.26062389579026035,-0.7266060308100298
-0.35757164555588666,0.26062389579026035,-0.7266060308100298
-0.35757164555588666,0.26062389579026035,-0.7266060308100298
0.28541030019784996,0.2474200511383957,-0.7642917582626056
0.28541030019784996,0.2474200511383957,-0.7642917582626056
0.12973311961925685,0.27796103060036315,0.775604356038085
0.12973311961925685,0.27796103060036315,0.775604356038085
-0.3331116845611023,0.19944026975794213,0.7654510044774065
-0.1096188203830013,0.19429009759627366,-0.7681392205058399
-0.1096188203830013,0.19429009759627366,-0.7681392205058399
-0.1096188203830013,0.19429009759627366,-0.7681392205058399
-0.1096188203830013,0.19429009759627366,-0.7681392205058399
-0.1096188203830013,0.19429009759627366,-0.7681392205058399
-0.1096188203830013,0.19429009759627366,-0.7681392205058399
-0.1096188203830013,0.19429009759627366,-0.7681392205058399
-0.1096188203830013,0.19429009759627366,-0.7681392205058399
-0.1096188203830013,0.19429009759627366,-0.7681392205058399
-0.1096188203830013,0.19429009759627366,-0.7681392205058399
-0.1096188203830013,0.19429009759627366,-0.7681392205058399
-0.1096188203830013,0.19429009759627366,-0.7681392205058399
-0.2282062105507441,-0.013322873749489816,0.8562275344208563
-0.2282062105507441,-0.013322873749489816,0.8562275344208563
-0.2282062105507441,-0.013322873749489816,0.8562275344208563
-0.2282062105507441,-0.013322873749489816,0.8562275344208563
-0.2282062105507441,-0.013322873749489816,0.8562275344208563
-0.2282062105507441,-0.013322873749489816,0.8562275344208563
-0.22825509297575322,-0.01826836905020493,0.8633308574432829
-0.22825509297575322,-0.01826836905020493,0.8633308574432829
-0.22825509297575322,-0.01826836905020493,0.8633308574432829
-0.22825509297575322,-0.01826836905020493,0.8633308574432829
-0.22825509297575322,-0.01826836905020493,0.8633308574432829
-0.22825509297575322,-0.01826836905020493,0.8633308574432829
-0.22825509297575322,-0.01826836905020493,0.8633308574432829
-0.22825509297575322,-0.01826836905020493,0.8633308574432829
-0.22825509297575322,-0.01826836905020493,0.8633308574432829
-0.22825509297575322,-0.01826836905020493,0.8633308574432829
-0.22825509297575322,-0.01826836905020493,0.8633308574432829
-0.22825509297575322,-0.01826836905020493,0.8633308574432829
-0.22825509297575322,-0.01826836905020493,0.8633308574432829
-0.22825509297575322,-0.01826836905020493,0.8633308574432829
-0.22825509297575322,-0.01826836905020493,0.8633308574432829
-0.22825509297575322,-0.01826836905020493,0.8633308574432829
-0.22825509297575322,-0.01826836905020493,0.8633308574432829
-0.22825509297575322,-0.01826836905020493,0.8633308574432829
-0.22825509297575322,-0.01826836905020493,0.8633308574432829
-0.22825509297575322,-0.01826836905020493,0.8633308574432829
-0.22825509297575322,-0.01826836905020493,0.8633308574432829
-0.22825509297575322,-0.01826836905020493,0.8633308574432829
-0.22825509297575322,-0.01826836905020493,0.8633308574432829
-0.22825509297575322,-0.01826836905020493,0.8633308574432829
