ind_0,ind_1,ind_2
"[1, 1000, 1000]","[0, 3, 1]","[0, 3, 2]"
"[0, 2, 1]","[0, 2, 1]","[0, 1, 1]"
"[1, 1000, 1000]","[0, 3, 1]","[0, 3, 3]"
"[1, 1000, 1000]","[0, 1, 0]","[0, 4, 3]"
"[0, 3, 3]","[0, 2, 0]","[0, 3, 2]"
"[0, 2, 2]",,
